Rank,Name,Country,FT Category,absolute_growth_rate_pct_inc,CAGR_pct_inc,2018_rev,2015_rev,employees_2018,founded
1,Niantic*,US,Games industry,"180,306.60",1117.4,790.18,0.44,426,2015
2,UiPath,US,Technology,"37,463.50",621.5,155,0.41,3200,2005
3,Publisher First (Freestar)*,US,Advertising,"36,680.10",616.5,36.86,0.1,43,2015
4,FreightWise*,US,Transport,"30,547.90",574.2,33.64,0.11,39,2015
5,Veggie Noodle Co.*,US,Food & Beverage,"24,074.80",523,24.9,0.1,175,2015
6,Perpay,US,Fintech,"18,480.40",470.6,22.89,0.12,24,2014
7,Bear Mattress,US,Personal & Household Goods,"13,480.70",414,20.54,0.15,12,2014
8,Applied Data Finance,US,Fintech,"11,989.50",394.5,37.41,0.31,205,2014
9,NuLeaf Naturals,US,Health,"11,700.60",390.5,13.58,0.12,11,2014
10,Urgent.ly,US,Technology,"11,612.20",389.3,30.23,0.26,226,2013
11,Vlocity,US,Technology,"10,245.30",369.4,96.52,0.93,598,2014
12,YieldStreet,US,Financial Services,"9,227.90",353.5,16.78,0.18,60,2015
13,Four Mine (With Clarity),US,Ecommerce,"9,179.30",352.7,19.01,0.2,12,2015
14,Auvik Networks,Canada,Technology,"7,913.60",331.1,9.4,0.12,167,2011
15,Printify*,US,Technology,"7,638.70",326.1,10.14,0.13,70,2015
16,FANCHEST,US,Ecommerce,"6,055.90",294.9,8.27,0.13,13,2014
17,Fund That Flip,US,Fintech,"6,017.90",294,6.41,0.1,41,2014
18,Beauty Barrage*,US,Sales & Marketing,"5,459.40",281.7,5.97,0.11,250,2015
19,Beeswax.io,US,Technology,"5,262.00",277.1,12.33,0.23,56,2014
20,Progyny,US,Health,"4,737.10",264.4,105.4,2.18,116,2008
21,IQM,US,Sales & Marketing,"4,101.50",247.6,6.22,0.15,40,2013
22,Exabeam,US,Cyber Security,"3,784.60",238.7,50.5,1.3,305,2013
23,SeaBay Building Group,US,Construction,"3,779.70",238.5,25.8,0.67,28,2013
24,Asset Panda,US,Technology,"3,691.90",236,5.09,0.13,50,2012
25,OwnBackup*,US,Technology,"3,391.50",226.8,9.43,0.27,89,2015
